bit_high,gold_high
7384.38,1347.7
7350.58,1354.9
7417.65,1351.7
7401.43,1346.5
6727.19,1355.5
6549.39,1354.2
6480.57,1356.9
6451.25,1356.2
6371.42,1365.9
6415.51,1359.3
6357.89,1362.5
6534.89,1382
6591.59,1372
6573.19,1372.3
6525.05,1364.5
6538.82,1374.7
6393.39,1362
6522.9,1350
6551.93,1348.3
6785.22,1351
6834.49,1353.3
6768.56,1350.1
6717.6,1357.6
6583.54,1361.3
6543.92,1360.7
6733.94,1374.1
6806.1,1382
6635.42,1369.4
6741.96,1367.3
6662.6,1388.3
6618.95,1382.6
6537.07,1380.3
6622.32,1395.1
6683.55,1399.2
6637.08,1396.7
6622.49,1406.6
6698.31,1404.1
6657,1419.3
6633.22,1418
6581.59,1405.9
6296.56,1411.2
6280.73,1344.59
6346.56,1342.07
7234.83,1397.1
6724.91,1393.7
6589.2,1380.9
6616.27,1385.7
6503.09,1381.9
6645.2,1364.8
6557.39,1358.9
6531.23,1361.7
6496.2,1358.6
6538.35,1364.1
6497.9,1372.5
6514,1359.9
6479,1350.8
6483.24,1347.5
6483.39,1358.1
6340.68,1361.4
6391.25,1357.8
6402.59,1347
6420.93,1330.4
6398.09,1326.4
6498.16,1331.7
6475.8,1341.6
6482.81,1345.5
6562.79,1346.3
6542.42,1340.7
6457.97,1342.6
6419.92,1333.7
6414.18,1322.4
6435.41,1323.2
6389.43,1323.6
6375.7,1325.9
5767.06,1317.1
5676.54,1313.7
5602.01,1313.5
5701.35,1305.4
5615.98,1289
4953.56,1288.5
4689.55,1291.2
4640.72,1287.7
4419.48,1286
4432,1282.3
4165.93,1296.7
4124.7,1293.9
3878.9,1228.03
4398.57,1289.9
4444.39,1314
4331.07,1322.8
4309.65,1320.8
4318.79,1318.4
4159.01,1317.7
4082.68,1327.7
3961.8,1320.4
3883.43,1317.1
3576.11,1315.2
3602.49,1318.8
3718.58,1328.5
3645.49,1326.8
3483.58,1348.2
3545.37,1342.8
3493.76,1341.5
3333.24,1343.9
3271.76,1351.9
3319.83,1365.6
3639.65,1370
3727.99,1355.6
3969.7,1353.1
4225.52,1343.2
4247.71,1348.5
4060.34,1339.1
4117.65,1268.6
4303.37,1269.02
4094.61,1344.8
3923.93,1333.3
3888.92,1329.7
4007.71,1332.1
4004.14,1338
3925.18,1329.9
3904.28,1340
3938.75,1336.2
3989.59,1312.7
3965.52,1308
3901.65,1305.7
3926.92,1302.9
4145.16,1305.2
4132.62,1306.1
4156.16,1306.1
4092.91,1305.8
4085.09,1312.1
3729.69,1326.9
3692.12,1336.1
3675.2,1334.6
3748.88,1347.1
3724.3,1344.7
3704.37,1343
3695.28,1346
3685.39,1355.8
3799.62,1378
3754.65,1361.7
3599.83,1360.5
3635.69,1370.9
3631.15,1369.8
3616.33,1289.65
3607.43,1366.7
3676.4,1357.3
3605.99,1353.4
3567.56,1333.3
3463.2,1336.8
3488.91,1332.4
3499.78,1327.5
3478.55,1333.1
3519.14,1332.7
3514.43,1339
3470.8,1344
3447.88,1335.5
3459.33,1338.7
3406.54,1337.4
3735.1,1330.4
3673.71,1328.5
3689.32,1331.5
3688.59,1316.5
3648.67,1317.2
3655.89,1313.6
3619.7,1310.7
3640.65,1284.3
3639.75,1286.3
3706.17,1294
3952.44,1284
4010.91,1285.7
3992.31,1291.9
4026.54,1307.6
3996.15,1307.3
4192.39,1308.8
4221.62,1313.9
3885.06,1331.1
3852.66,1334.3
3851.84,1339.1
3909.86,1338.4
3866.12,1331.7
3846.38,1313.3
3853.28,1319.2
3831.01,1240.15
3893.52,1239.25
3916.29,1319.4
3911.76,1322.7
3932.02,1314.2
3975.25,1304.9
3948.21,1304.9
3941.99,1319
3904.7,1315.4
3898.25,1323.9
3922.21,1314.1
3935.1,1313.3
4069.11,1302.2
4030.38,1300.6
4038.99,1291
4032.04,1291.8
4064.95,1276.4
4082.29,1271.7
4018.21,1275.1
4019.36,1281.1
4010.3,1299.6
4005.29,1298.9
3943.2,1289.2
4054.32,1284
4046.44,1295.7
4122.89,1297.4
4146.88,1208.45
4129.43,1205.05
4164.33,1281.3
5104.42,1283.3
5335.7,1280
5071.98,1268.5
5074.13,1262.8
5240.19,1256
5266.04,1262.1
5347.88,1247.1
5294.09,1234
5460.94,1153.25
5343.66,1239
5118.61,1241.2
5128.96,1224
5186.82,1221.9
5195.31,1136.05
5232.03,1135
5270.76,1216.8
5317.78,1213.8
5353.01,1216.5
5366.6,1217
5348.59,1225.9
5444.76,1220.9
5626.83,1213.1
5633,1238.3
5521.61,1233.6
5361.94,1240.3
5282.97,1236
5313.7,1246.4
5299.51,1250.6
5372.23,1235
5417.17,1236.7
5531.15,1242.4
5891.9,1233.7
5901.36,1238.4
5849.5,1255.5
5823.67,1258.6
6031.54,1245.5
6032.25,1190.3
6194.91,1256.9
6444.57,1278
7394.94,1276.8
7541.61,1276.4
8127.75,1283.8
8297.02,1290.3
8263.29,1290.9
8352.25,1286.9
7930.98,1282.7
7491.67,1326.6
8281.66,1334
8193.14,1336.2
8102.32,1340.4
8033.76,1365.7
7971.26,1363.8
8165.45,1368
8140.82,1348
8779,1333.7
8931.53,1337.1
8818.71,1330
8760.48,1324.6
9065.89,1331.6
8570.78,1317.2
8619.21,1323
8819.9,1323.5
8740.24,1325.2
8114.49,1318.6
7917.14,1311.8
7872.1,1310.4
8127.63,1312.3
8058.91,1307.7
7964.75,1309.5
8061.5,1313.9
8049.78,1304.5
8250,1305.5
8326.2,1321.3
8724.42,1322.1
8905.14,1365.9
9372.89,1383.5
9468.85,1379.1
9357.22,1376.7
9313.18,1384.4
9600.28,1398.6
10230.86,1396
11207.97,1399.2
11285.51,1388.3
11100.92,1374.7
11778.22,1374.4
13826.76,1367.1
13314.05,1379.3
12433,1386.7
12362.9,1380.8
12200.02,1384.4
11207,1393.1
10927.6,1400.2
12009.59,1407.1
12055.11,1411.1
11435.38,1332.15
11709.27,1328.75
11605.43,1385.3
12386.28,1372.6
12808.06,1367.9
13183.73,1374.5
12099.91,1384.4
11931.91,1383.2
11835.87,1384.4
11447.92,1389
11070.18,1407.8
11025.76,1405.2
9982.24,1408
10776.54,1419.1
10757.41,1410.6
11094.32,1410.7
10833.99,1410.6
10676.6,1406.8
10328.44,1414
9920.54,1415.6
10184.43,1409.9
9890.05,1405.3
10202.95,1407.9
9591.52,1427.9
9717.69,1423.9
9749.53,1429.4
10123.94,1416.2
10488.81,1415.7
10666.64,1402.8
10915,1392
11074.95,1382.6
11945.38,1381.3
12316.85,1385.5
12138.55,1392.2
12042.87,1379.7
12027.57,1392.3
11971.35,1385.4
11584.35,1383.5
11554.74,1387.7
11439.48,1399
10873.44,1390.7
10451.61,1411.3
10544.97,1412
10474.64,1415
10512.89,1422.8
10937.26,1414.4
10956.06,1360.15
10805.7,1347.55
10231.99,1394.3
10468.14,1375
10430.99,1381.4
10353.95,1372.2
10626.93,1378.8
10381.92,1376.8
10281.59,1317.7
9724.52,1322.1
9699.85,1324.6
9714.11,1344.2
9823.53,1342.9
10459,1345.6
10773.27,1335
10827.14,1335.2
10659.6,1337.7
10938.39,1327.7
10574.99,1324.4
10595.71,1314
10514.59,1298.8
10395.1,1299.4
10251.97,1294.6
10472.07,1264.9
10591.45,1267.2
10455.38,1269.3
10401.53,1213.15
10411.06,1267.6
10297.99,1273.6
10272.19,1277.4
10368.46,1282.7
10321.18,1304.9
10187.64,1305.9
10096.66,1305.9
10073.79,1324.3
9787.58,1324.9
8752.2,1321.8
8471.02,1319.5
8304.22,1317.7
8345.03,1322.6
8265.99,1311.3
8372.24,1312.9
8537.6,1340.1
8403.51,1317.8
8434.63,1324.3
8267.11,1342.8
8232.25,1347.3
8221.03,1341.4
8326.01,1316.8
8354.19,1299.8
8697.56,1292.4
8672.58,1289.1
8834.11,1278.8
8439.44,1299.5
8498.59,1302.3
8414.24,1300.8
8439.31,1280.3
8193.41,1279.7
8145.5,1272.1
8157.36,1293.9
8108.69,1306.4
8326.13,1302.4
8359.52,1287.3
8318.41,1282.3
8071.8,1268.8
7524.31,1274.5
8783.85,1264.7
10380.48,1268.9
9805.42,1280.9
9934.71,1276.9
9565.11,1286.3
9441.8,1270.7
9423.16,1216.7
9308.62,1272.4
9400.44,1299
9396.1,1298.8
9578.74,1292.7
9495.36,1302
9455.53,1314.1
9382.63,1280.9
9263.83,1280.2
8881.08,1286.4
9126.98,1308.6
9084.49,1299
8868.85,1304
8840.33,1309
8811.04,1310.3
8773.4,1315.6
8539.42,1300.7
8641.12,1283
8537.87,1271.2
8215.95,1273.3
8232.23,1258.8
8133.73,1277
7721.9,1277.1
7368.18,1261.4
7364.59,1246
7386.06,1267.4
7350.44,1262.5
7681.51,1247.2
7663.45,1230
7872.17,1235.1
7821.01,1235.9
7575.5,1271.2
7442.62,1269
7420.34,1232.6
7764.68,1236.9
7492.96,1243.8
7607.79,1220.4
7640.51,1197.7
7594.8,1183.3
7667.04,1170.1
7403.64,1173.5
7284.74,1161.9
7307.96,1163.7
7308.08,1163.9
7283.78,1167.3
7204.93,1152.4
7172.46,1142.6
6948.12,1143.6
7442.26,1151.7
7376.98,1135.8
7234.56,1093.3
7213.86,1090.8
7527.4,1137.5
7694.65,1123
7429.42,1137.4
7280.52,1137.1
7442.21,1148.5
7267.46,1151.7
7368.09,1162.7
7540.65,1151.9
7414.07,1138.4
7325.24,1135.5
7267.16,1121
7224.84,1120.8
7407.11,1128.6
7405.75,1128.1
7501.42,1135.9
7799.63,1128.2
8218.63,1134
8458.65,1140.5
8047.11,1123.3
8192.05,1108.1
8287.42,1135.3
8185.14,1119.8
8200.4,1121.4
8874.07,1133.8
8890.04,1130.3
8846.78,1134.9
9004.35,1134
8974.65,1134.3
9177.39,1143.2
8737.36,1120.6
8771.75,1112.4
8793.74,1122
8680.93,1123.9
8517.5,1114.5
8444.32,1074.2
8605.33,1128.4
8991.01,1131.6
9407.39,1124.7
9429.16,1133.8
9561.26,1135.2
9518.87,1126.9
9455.92,1138.4
9469.84,1142.5
9605.66,1141.3
9347.12,1141.3
9750.28,1145.4
9853.08,1149.4
9866.18,1149.2
9936.26,1147.9
10162.71,1160.1
10185.09,1161.2
10370.44,1168.6
10475.43,1190.4
10500.54,1195.2
10387.37,1201.8
10388.6,1229.3
10042.6,1218.2
9958.46,1220.3
10274.35,1218.7
10300.04,1228.2
9698.59,1229.7
9766.16,1240.9
9720.21,1236.3
10011.4,1246.6
10019.3,1251.4
9682.05,1243.6
9379.07,1231.7
8978.84,1231.1
8908.8,1222.4
8815.63,1209.9
8776.71,1214
8983.78,1211.3
8940.69,1203.5
8863.91,1204.2
9179.74,1182.1
9183.26,1183.6
9225.42,1199.1
8920.28,1204.4
8200.82,1218.8
8165.09,1226.9
7998.79,1206.3
7984.16,1199.6
5984.55,1209.4
5665.57,1214.1
5961.78,1194.9
5364.93,1188.4
5561.43,1180.5
5451.02,1185.7
6418.99,1181.9
6932.04,1187.9
6459.65,1180.7
6415.14,1199.9
6614.56,1124
6857.49,1123.1
6980.29,1200.5
6796.12,1203.5
6876.97,1214.4
6384.56,1221.3
6286.96,1216.9
6616.94,1218.4
6531.66,1207.2
6716.04,1209
7245.15,1223.7
7044.01,1238.9
7010.45,1246.8
6910.39,1242.2
7359.05,1217.1
7462.51,1206.3
7425.85,1207.9
7374.01,1202.3
7304.8,1205.1
6956.27,1213
7199.97,1197.7
6913.76,1195.8
6986.75,1185.8
6937.49,1181.6
7207.11,1177.1
7155.17,1178.7
7304.35,1176.8
7276.84,1183.1
7225.23,1183.4
6948.78,1187.5
7165.43,1190.6
7731.56,1190.6
7607.28,1180
7708.4,1190.1
7705.3,1187.6
7790.33,1199.5
7791.85,1205.5
8952.44,1230.7
9460.77,1243.2
9066.47,1246.3
9013.29,1252.4
9197.48,1255
8968.9,1256.6
9119.13,1255.1
9408.99,1258.6
10064.33,1249.5
10041.73,1270.6
9912.22,1169
9556.85,1261.5
9164.84,1268.5
8975.74,1270.8
9407.67,1278
9937.97,1273.1
9841.71,1270.3
9584.9,1271
9885.55,1274.8
9943.74,1282.1
9890.69,1299.4
9832.94,1300.8
9566.81,1276.9
9265.04,1279.4
9311.34,1285.8
9307.11,1281
8977.43,1282.6
9011.53,1288.6
9222.3,1276.8
9619.34,1272
9601.43,1266.8
9735.73,1270.1
9703.51,1279.9
10359.02,1287.8
10232.25,1280.4
9666.25,1280.7
9877.89,1280.5
9846.54,1278.6
9728.4,1288.9
9806.21,1209
9801.19,1205.8
9884.83,1299.7
9990.4,1298.1
9970.77,1303.5
9548.13,1318.2
9492,1321.2
9479.56,1318.9
9498.69,1319
9585.17,1312.2
9550.06,1287
9480.04,1277.3
9419.99,1282.5
9394.04,1278.5
9418.22,1286.7
9774.79,1288.2
9720.11,1279
9664.38,1266.1
9335.65,1273
9289.32,1300
9190.27,1301.4
9189.74,1289.2
9234.33,1260.4
9200.99,1282
9299.67,1274.7
9267.84,1289.1
9127.05,1279.3
9195.91,1288.1
9152.87,1283
9372.09,1286.5
9378.69,1278.1
9471.65,1287.8
9441.67,1293.3
9317.31,1281.6
9302.22,1291.1
9339.99,1298.4
9336.42,1305.4
9279.57,1288.2
9272.57,1288.2
9216.53,1294.2
9183.08,1272.2
9205.94,1276.4
9238.3,1291.9
9224.76,1297
9435.55,1287.3
9551.87,1281.2
9675.5,1277.5
9647.83,1274.7
9744.72,1259.5
10140.55,1247.5
11397.48,1244.5
11253.39,1249.3
11348.53,1248.9
11182.76,1249
11454.11,1248.4
11874.77,1258.1
12106.89,1268
11476.29,1265.6
11415.16,1296.1
11791.62,1300.6
11909.81,1304.2
11912.62,1305.8
11811.4,1309.4
11802.93,1306.1
12074.31,1296
11940.4,1293.1
11621.05,1298.7
11795.34,1303.2
11863.43,1306.9
11981.62,1301.5
11934.96,1323.3
12474.73,1236.4
12397.4,1229.3
12021.8,1325.2
11888.72,1318.7
11882.67,1319.2
11686.02,1331.2
11713.62,1339.9
11827.45,1332.6
11767.64,1354.9
11542.65,1367
11591.64,1367.3
11553.81,1382.4
11585.98,1384.6
11718.98,1380.2
11775.27,1402.2
12062.06,1414.7
11954.28,1405.6
11469.2,1417.6
10638.71,1425.2
10570.95,1391.1
10361.12,1380
10411.92,1279.5
10443.72,1281.9
10349.09,1404.9
10493.32,1380
10412.6,1364.5
10412.41,1377.4
